sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
WSH122,205,-0.3742046550592052,-0.025120762344073573,-0.03854138519704519,-0.04602735639622259,0.0351859466388911,0.006922276875293772,0.003956863457533787,-0.00282716356671858,0.0006467174363294606,-0.0003511164157819707,-0.00026091199257270194,0.00011801603702653366,-5.496545643646243e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH105,206,-0.1022300416545251,0.09144443582648229,0.01764067232164353,-0.0547037998476709,-0.042192434084867655,-0.004944378583299952,0.010725116875748585,0.004672790822754989,-0.00042635070699991985,-0.00465734830722991,0.0008241166721557696,2.1792270183656614e-05,3.3648319541557846e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH111,207,0.09629648935073598,-0.0007087774380472725,-0.019857497370906495,0.022747201822885817,-0.00638051597159125,-0.009112124090298473,0.0018385119116491925,-0.0016435703845920856,-0.005243138476015874,0.0014764006253259819,-0.009316462702629693,0.0007482233898304028,-0.0007672847881632076,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH089,208,0.11157584228321309,-0.029462125483875563,-0.06188189237188177,-0.017291856143814326,0.016748509771142405,-0.003913249407469287,-0.0056368521338015535,0.004270716375296507,-0.0011912395571858087,-0.0011241878051255181,-0.000504144297262475,0.00019403082370305356,-3.4970434859944744e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH088,210,0.09549665453659975,0.004528241109517733,-0.019303301635773474,0.021758384178368756,-0.008979825327437472,0.003932454069478956,0.0008202981324416024,0.0033357305975352,0.0036734561833008045,0.0028192598863900943,0.009815148378369025,0.003256614330119637,-0.0011549346369360777,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH126,211,0.09743111404181316,-0.015761556908955643,0.01418857903061838,-0.0014268754890451728,-0.0021244620077457556,0.0037814447283492595,-0.006716844416197392,0.0004520094774449402,0.0020822714943500215,-0.0017681179467858219,-0.0031284303294603667,0.005640532199942473,0.0010281473564785364,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH106,212,0.09541710139565526,-0.010661341245803417,0.02190995692660228,0.005112048550247332,-0.006113668825974701,0.03497106241216582,0.007732952084462726,0.010496091237537745,-0.0031056950589031062,0.001129576375586241,-0.003073574897517263,-0.0005317257136555578,0.0004792454114843186,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH093,214,0.0957717284418122,0.004147688821968078,-0.017814392300852303,0.01971529962665264,-0.007767459433448041,0.004310373327621219,-0.003261862879435861,0.0035906784017581115,0.013145568484373713,0.0013023969480478704,-0.002056627531582645,-0.0019494983949029632,0.0002882242810302045,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH101,218,-0.3928934568408952,-0.07532592869172888,5.8729359022594904e-05,0.02076823446137196,-0.03958633286937879,0.008825138365156774,0.004246721308079662,-0.012795426794105301,0.0041620966690905275,-4.338768867937075e-05,-0.0005848753405489986,0.0003190445622760969,-0.0003326774149460096,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH114,219,0.09724361195520335,-0.015521351409582974,0.016654728211480587,-0.0020310927403361318,-0.0021880548653027973,0.005060624393812423,-0.0024742185750285146,-0.004842863667786446,-0.011371340215460001,2.5247795240391493e-05,0.004181596948891647,-0.0006778746668349903,-0.0009567661290470498,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH096,220,0.09716959733736685,-0.020085452392217512,0.01707133590466515,-0.005804105976745236,-0.0018227285558261618,-0.01581165803524573,0.009171808646460231,0.0006697148288483529,-0.0012731957086317858,-0.001194949843404253,-0.0007167429833178084,0.0015448529362668004,-0.0014013832815985032,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH124,223,0.11279718003165995,-0.04585649203997752,-0.01332616269256193,-0.051491881492851305,0.020380741967152463,0.0017476100781614115,0.0009635650827056813,0.0012919292836349155,-0.000679372839209986,0.002140538084947925,0.000845348785648659,-0.0003957234506866894,0.0002177956779178248,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH090,224,0.09621147135445506,0.0022947754356755176,-0.015939691271471938,0.01881696998569284,-0.00843980714997801,0.0016774638486974525,0.003045881864120831,0.0002918300195342049,-0.005106124325309328,0.004209706022811225,-7.657445241395591e-05,-0.002033150844262457,0.000931423818849904,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.8784027116725048,0.06177935420944746,0.019782694264469596,0.0187630430157961,0.014033133088713503,0.0030997823169060567,0.0014634849846413655,0.0010312163808147551,0.0007318026594473804,0.00043315815199424803,0.0003538580719163661,8.675055612035426e-05,3.901062722795324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
