OTU,Size,Taxonomy,,,,,
Otu0017,100,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Vibrionales(100),Vibrionaceae(100),Vibrionaceae_unclassified(100)
Otu0018,95,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0019,91,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0020,90,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Mycobacteriaceae(100),Mycobacterium(100)
Otu0021,90,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0022,89,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rickettsiales(100),Anaplasmataceae(100),Wolbachia(100)
Otu0023,88,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0024,87,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Sphingomonadales(100),Sphingomonadaceae(100),Sphingomonas(95)
Otu0025,84,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0026,75,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Colwelliaceae(100),Thalassomonas(100)
Otu0027,60,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Blastopirellula(100)
Otu0028,59,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0029,57,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Colwelliaceae(100),Thalassomonas(100)
Otu0030,56,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(99)
Otu0031,52,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria(100),Cyanobacteria_order_incertae_sedis(100),Family_II(100),GpIIa(100)
Otu0032,50,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0033,49,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Pseudomonadales(100),Pseudomonadaceae(100),Pseudomonadaceae_unclassified(66)
Otu0034,48,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0035,45,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria(100),Cyanobacteria_order_incertae_sedis(100),Cyanobacteria_order_incertae_sedis_unclassified(100),Cyanobacteria_order_incertae_sedis_unclassified(100)
Otu0036,45,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0037,44,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0038,42,Bacteria(100),Firmicutes(100),Bacilli(100),Bacillales(100),Staphylococcaceae(100),Staphylococcus(100)
Otu0039,38,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0040,35,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Comamonadaceae(100),Delftia(83)
Otu0041,34,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Alteromonadaceae(100),Alishewanella(100)
Otu0042,33,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Oceanospirillaceae(100),Thalassolituus(61)
Otu0043,32,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0044,29,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0045,28,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Flammeovirgaceae(90),Flammeovirgaceae_unclassified(90)
Otu0046,27,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0047,25,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Oceanospirillaceae(100),Neptuniibacter(100)
Otu0048,25,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0049,25,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodospirillales(100),Rhodospirillaceae(84),Rhodospirillaceae_unclassified(84)
Otu0050,23,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Burkholderiaceae(100),Ralstonia(100)
Otu0051,21,Bacteria(100),Verrucomicrobia(100),Verrucomicrobiae(100),Verrucomicrobiales(100),Verrucomicrobiaceae(100),Roseibacillus(81)
Otu0052,20,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Planctomycetaceae_unclassified(100)
Otu0053,19,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0054,19,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0055,18,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Pseudomonadales(100),Moraxellaceae(100),Acinetobacter(100)
Otu0056,18,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0057,18,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Rhodopirellula(84)
Otu0058,17,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(83)
Otu0059,17,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Sphingomonadales(100),Sphingomonadaceae(100),Sphingomonadaceae_unclassified(100)
Otu0060,17,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Corynebacteriaceae(100),Corynebacterium(100)
Otu0061,16,Bacteria(100),Proteobacteria(100),Deltaproteobacteria(100),Desulfobacterales(100),Desulfobulbaceae(100),Desulfopila(100)
Otu0062,16,Bacteria(100),Proteobacteria(100),Betaproteobacteria(100),Burkholderiales(100),Alcaligenaceae(100),Alcaligenaceae_unclassified(57)
Otu0063,15,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0064,15,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Rhodobacteraceae_unclassified(100)
Otu0065,15,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Rhodobacteraceae_unclassified(100)
Otu0066,15,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0067,15,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Alteromonadaceae(100),Marinobacter(100)
Otu0068,15,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0069,15,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Thiotrichales(100),Thiotrichales_incertae_sedis(100),Fangia(100)
Otu0070,15,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0071,15,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0072,15,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0073,15,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0074,15,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Caulobacterales(100),Hyphomonadaceae(100),Hyphomonadaceae_unclassified(100)
Otu0075,14,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Rhodobacteraceae_unclassified(100)
Otu0076,14,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0077,14,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0078,14,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodospirillales(100),Rhodospirillaceae(100),Pelagibius(100)
Otu0079,14,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0080,14,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0081,14,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Micrococcaceae(100),Kocuria(93)
Otu0082,14,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodospirillales(100),Rhodospirillaceae(100),Pelagibius(100)
Otu0083,14,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0084,14,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Sphingobacteriales_unclassified(100),Sphingobacteriales_unclassified(100)
Otu0085,13,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0086,13,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0087,13,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0088,13,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0089,13,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Alteromonadaceae(100),Alteromonadaceae_unclassified(77)
Otu0090,13,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Flammeovirgaceae(100),Flammeovirgaceae_unclassified(100)
Otu0091,12,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Planctomycetaceae_unclassified(100)
Otu0092,12,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Planctomycetaceae_unclassified(100)
Otu0093,12,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0094,12,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0095,12,Bacteria(100),Proteobacteria(100),Deltaproteobacteria(100),Desulfobacterales(100),Desulfobulbaceae(100),Desulforhopalus(100)
Otu0096,12,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Vibrionales(100),Vibrionaceae(100),Vibrio(84)
Otu0097,12,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0098,12,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100)
Otu0099,12,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0100,12,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0101,12,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Chromatiales(100),Chromatiaceae(100),Rheinheimera(100)
Otu0102,12,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Rhodobacteraceae_unclassified(100)
Otu0103,12,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Streptococcaceae(100),Streptococcus(100)
Otu0104,12,Bacteria(100),Firmicutes(100),Bacilli(100),Lactobacillales(100),Lactobacillaceae(100),Lactobacillus(100)
Otu0105,11,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0106,11,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100),Alphaproteobacteria_unclassified(100)
Otu0107,11,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0108,11,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Flammeovirgaceae(100),Fabibacter(55)
Otu0109,11,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Flavobacteriaceae_unclassified(100)
Otu0110,11,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Cryomorphaceae(100),Crocinitomix(100)
Otu0111,11,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Pseudonocardiaceae(100),Pseudonocardia(100)
Otu0112,11,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0113,11,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Rhodobacteraceae_unclassified(73)
Otu0114,10,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100)
Otu0115,10,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0116,10,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Rhodobacteraceae_unclassified(90)
Otu0117,10,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Caulobacterales(100),Hyphomonadaceae(100),Hyphomonas(100)
Otu0118,10,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Xanthomonadales(100),Xanthomonadaceae(100),Stenotrophomonas(100)
Otu0119,10,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0120,10,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Vibrionales(100),Vibrionaceae(100),Vibrionaceae_unclassified(100)
Otu0121,10,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0122,10,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0123,10,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0124,9,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0125,9,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodospirillales(100),Rhodospirillaceae(100),Rhodospirillaceae_unclassified(100)
Otu0126,9,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0127,9,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0128,9,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Planctomycetaceae_unclassified(78)
Otu0129,9,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100)
Otu0130,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Pseudomonadales(100),Moraxellaceae(100),Psychrobacter(89)
Otu0131,9,Bacteria(100),Bacteroidetes(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100),Bacteroidetes_unclassified(100)
Otu0132,9,Bacteria(100),Proteobacteria(100),Deltaproteobacteria(100),Bdellovibrionales(100),Bacteriovoracaceae(100),Bacteriovorax(100)
Otu0133,9,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Loktanella(56)
Otu0134,9,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhizobiales(100),Bradyrhizobiaceae(100),Bradyrhizobium(67)
Otu0135,9,Bacteria(100),Verrucomicrobia(100),Opitutae(100),Puniceicoccales(100),Puniceicoccaceae(100),Coraliomargarita(100)
Otu0136,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0137,9,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0138,9,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Formosa(67)
Otu0139,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0140,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0141,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0142,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0143,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Oleiphilaceae(56),Oleiphilus(56)
Otu0144,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0145,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0146,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Halomonadaceae(100),Halomonas(89)
Otu0147,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Pseudoalteromonadaceae(100),Pseudoalteromonas(56)
Otu0148,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Alteromonadaceae(100),Alteromonadaceae_unclassified(89)
Otu0149,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0150,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0151,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0152,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0153,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Alteromonadaceae(100),Aestuariibacter(100)
Otu0154,9,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0155,8,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0156,8,Bacteria(100),Bacteroidetes(100),Sphingobacteria(100),Sphingobacteriales(100),Sphingobacteriales_unclassified(100),Sphingobacteriales_unclassified(100)
Otu0157,8,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100),Gammaproteobacteria_unclassified(100)
Otu0158,8,Bacteria(100),Proteobacteria(100),Deltaproteobacteria(100),Desulfobacterales(100),Desulfobulbaceae(100),Desulforhopalus(88)
Otu0159,8,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Pseudomonadales(100),Moraxellaceae(100),Moraxellaceae_unclassified(100)
Otu0160,8,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0161,8,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Rhodopirellula(100)
Otu0162,8,Bacteria(100),Planctomycetes(100),Planctomycetacia(100),Planctomycetales(100),Planctomycetaceae(100),Planctomycetaceae_unclassified(100)
Otu0163,8,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0164,8,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0165,8,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0166,8,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0167,8,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0168,8,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0169,8,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0170,8,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0171,8,Bacteria(100),Actinobacteria(100),Actinobacteria(100),Actinomycetales(100),Actinomycetales_unclassified(100),Actinomycetales_unclassified(100)
Otu0172,7,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0173,7,Bacteria(100),Proteobacteria(100),Alphaproteobacteria(100),Rhodobacterales(100),Rhodobacteraceae(100),Loktanella(72)
