sample-id	forward-absolute-filepath	reverse-absolute-filepath
WSH231	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH231_S238_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH231_S238_L001_R2_001.fastq.gz
WSH232	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH232_S245_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH232_S245_L001_R2_001.fastq.gz
WSH233	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH233_S197_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH233_S197_L001_R2_001.fastq.gz
WSH234	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH234_S204_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH234_S204_L001_R2_001.fastq.gz
WSH235	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH235_S211_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH235_S211_L001_R2_001.fastq.gz
WSH236	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH236_S218_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH236_S218_L001_R2_001.fastq.gz
WSH237	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH237_S225_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH237_S225_L001_R2_001.fastq.gz
WSH238	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH238_S232_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH238_S232_L001_R2_001.fastq.gz
WSH239	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH239_S239_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH239_S239_L001_R2_001.fastq.gz
WSH240	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH240_S246_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH240_S246_L001_R2_001.fastq.gz
WSH241	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH241_S198_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH241_S198_L001_R2_001.fastq.gz
WSH242	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH242_S205_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH242_S205_L001_R2_001.fastq.gz
WSH243	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH243_S212_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH243_S212_L001_R2_001.fastq.gz
WSH244	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH244_S219_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH244_S219_L001_R2_001.fastq.gz
WSH245	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH245_S226_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH245_S226_L001_R2_001.fastq.gz
WSH246	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH246_S233_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH246_S233_L001_R2_001.fastq.gz
WSH247	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH247_S240_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH247_S240_L001_R2_001.fastq.gz
WSH248	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH248_S247_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH248_S247_L001_R2_001.fastq.gz
WSH249	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH249_S199_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH249_S199_L001_R2_001.fastq.gz
WSH250	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH250_S206_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH250_S206_L001_R2_001.fastq.gz
WSH251	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH251_S213_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH251_S213_L001_R2_001.fastq.gz
WSH252	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH252_S220_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH252_S220_L001_R2_001.fastq.gz
WSH253	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH253_S227_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH253_S227_L001_R2_001.fastq.gz
WSH254	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH254_S234_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH254_S234_L001_R2_001.fastq.gz
WSH255	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH255_S241_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH255_S241_L001_R2_001.fastq.gz
WSH256	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH256_S248_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH256_S248_L001_R2_001.fastq.gz
