ColonyID,Species,Site,Bleach,Date,Biopsy?,Fragment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Montipora capitata,13,Bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Montipora capitata,13,Non-bleach,12/4/19,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
