,RunTime,rad,value,ID,coefficients..Intercept.,coefficients.x1,R.squared,std.error..Intercept.,std.error.x1,Date
169,116.4550745,609,111.7468404,221,77.74424369,0.291854369,0.990994082,0.320365885,0.002810487,10/2/19
170,121.5053207,726,113.072823,221,80.54477012,0.267516332,0.982784286,0.425755455,0.003576603,10/2/19
171,139.5551556,0,127.5678022,222,177.7473883,-0.359977703,0.988007954,0.549197094,0.004006166,10/2/19
172,11.90568826,112,92.06494008,222,91.58794865,0.040257975,0.722721949,0.024030636,0.0025189,10/2/19
173,30.40493806,180,95.14048529,222,88.91933377,0.204155966,0.984930471,0.071343028,0.002550916,10/2/19
174,41.65493514,272,97.99455748,222,85.22584923,0.306825951,0.995481498,0.08186942,0.00208814,10/2/19
175,63.10529033,351,105.1316086,222,81.74474318,0.370313036,0.993797734,0.17922338,0.002955168,10/2/19
176,73.20529482,430,109.0076849,222,80.24576653,0.392867314,0.995051271,0.197994604,0.002798704,10/2/19
177,79.20489692,482,111.3136106,222,80.18619563,0.392957882,0.993602776,0.244436528,0.003185095,10/2/19
178,95.55539463,541,117.5485616,222,80.05964209,0.392859184,0.994115908,0.284220284,0.003053129,10/2/19
179,111.5057165,609,123.4363756,222,82.62454024,0.366209861,0.991689809,0.369249443,0.003386371,10/2/19
180,121.4055506,726,126.8871248,222,84.08404969,0.352910078,0.987401082,0.47895576,0.0040269,10/2/19
181,97.85105722,0,111.1623864,229,134.4507095,-0.23888887,0.975720655,0.363100856,0.003806612,10/2/19
182,10.20131794,112,85.05763559,229,84.66730706,0.039549185,0.709384982,0.020097642,0.00255707,10/2/19
183,16.75121606,180,86.06880445,229,82.96252731,0.185452768,0.981402868,0.037002768,0.002578812,10/2/19
184,32.05102734,272,90.03387108,229,80.61720543,0.294198395,0.992701561,0.07545499,0.002548196,10/2/19
185,41.30118743,351,93.13210562,229,78.86770192,0.346179664,0.995523432,0.091108265,0.00234496,10/2/19
186,49.1006971,430,95.9935973,229,77.30009432,0.381251261,0.994852878,0.129222109,0.002770136,10/2/19
187,62.70070927,482,101.5255124,229,74.89737655,0.424844331,0.994116055,0.198902847,0.003301661,10/2/19
188,71.80122583,541,105.2758428,229,73.89595631,0.437559527,0.993889766,0.240311023,0.003465644,10/2/19
189,82.6007878,609,110.1341418,229,72.21912798,0.459291525,0.992761885,0.317474955,0.003961554,10/2/19
190,87.65136314,726,112.5200576,229,70.07761043,0.484250568,0.990929163,0.398693374,0.004680147,10/2/19
191,98.70093087,0,153.0882463,230,204.0330628,-0.516675684,0.991725433,0.458799578,0.004767403,10/2/19
192,9.950740705,112,99.39446275,230,98.14036732,0.126899245,0.961530395,0.019522576,0.002564031,10/2/19
193,19.60080622,180,102.2637267,230,95.11756279,0.365502064,0.996266892,0.038843283,0.002260082,10/2/19
194,28.1507522,272,106.8424344,230,90.59942658,0.576377104,0.998247481,0.062736044,0.002439528,10/2/19
195,43.35119913,351,116.8219823,230,85.77721605,0.716033209,0.998342528,0.12054303,0.002947158,10/2/19
196,51.95074504,430,123.6490841,230,80.65707297,0.828033367,0.998710113,0.148788746,0.003006014,10/2/19
197,63.35057401,482,133.3941495,230,77.33328109,0.884029959,0.998497794,0.21091769,0.003463739,10/2/19
198,73.50089175,541,142.4132056,230,74.79192322,0.920005181,0.998742994,0.234220954,0.003297,10/2/19
199,81.75130432,609,149.9899332,230,73.87287365,0.930366962,0.998198789,0.316540053,0.003992225,10/2/19
200,87.65136314,726,155.6160843,230,71.16314938,0.963003904,0.998093094,0.36222099,0.004252008,10/2/19
201,98.65097998,0,107.5064194,237,131.7873252,-0.24589507,0.984168588,0.303024176,0.003150372,10/2/19
202,9.850898232,112,86.85499713,237,86.8533942,0.007516469,0.119463755,0.015492986,0.002061372,10/2/19
203,18.60078532,180,87.43134406,237,85.67020913,0.09693261,0.954083694,0.034778078,0.002148063,10/2/19
204,28.60090171,272,89.15855408,237,83.37943194,0.202350713,0.985990258,0.063753452,0.002436523,10/2/19
205,39.60094335,351,91.71279122,237,81.34013616,0.261842833,0.993321734,0.0805787,0.002168775,10/2/19
206,50.50077772,430,94.93856764,237,79.55752445,0.304027535,0.995202055,0.102457546,0.002132416,10/2/19
207,62.85076647,482,99.07879236,237,76.4782371,0.359708983,0.995254572,0.151529419,0.002509047,10/2/19
208,75.15070472,541,103.6671449,237,73.79370333,0.39735525,0.993001426,0.24494709,0.003369735,10/2/19
209,82.50055872,609,106.5670867,237,72.60144773,0.412577996,0.991140364,0.315380681,0.003940337,10/2/19
210,87.65136314,726,108.7213728,237,73.6479855,0.39952219,0.990569833,0.335447479,0.003937722,10/2/19
211,97.00137021,0,129.1834355,238,163.3027342,-0.351440923,0.984550511,0.420415653,0.004447105,10/2/19
212,10.15127554,112,88.62348109,238,88.22828498,0.038725318,0.76591054,0.016891269,0.002162638,10/2/19
213,19.30127883,180,90.44941375,238,85.85638666,0.237994949,0.991647323,0.037261582,0.002206424,10/2/19
214,30.10079654,272,94.56810972,238,81.95523895,0.419325701,0.996363324,0.070792998,0.002559068,10/2/19
215,43.55103152,351,101.1757136,238,77.62294153,0.540832564,0.997694617,0.107939001,0.002626168,10/2/19
216,53.85111777,430,107.4333694,238,73.95319675,0.6211368,0.997672175,0.155771171,0.003030787,10/2/19
217,61.10072156,482,112.1493827,238,70.78463885,0.67769075,0.997938927,0.182446224,0.003111095,10/2/19
218,71.80122583,541,119.4945239,238,68.7460424,0.706914678,0.997468758,0.249437038,0.003597255,10/2/19
